x, y, yaw
0.0345843,-0.511448,0.0039072
0.124242,-0.513205,0.0041067
0.213899,-0.514963,0.00430619
0.303557,-0.51672,0.00450568
0.393214,-0.518477,0.00470517
0.482872,-0.520235,0.00490466
0.57253,-0.521992,0.00510415
0.662187,-0.523749,0.00530364
0.751845,-0.525507,0.00550313
0.841502,-0.527264,0.00570263
0.93116,-0.529021,0.00590212
1.02082,-0.530779,0.00610161
1.11062,-0.531503,0.00596718
1.20042,-0.532227,0.00583276
1.29023,-0.532952,0.00569833
1.38003,-0.533676,0.00556391
1.46984,-0.5344,0.00542948
1.55964,-0.535125,0.00529506
1.64944,-0.535849,0.00516064
1.73925,-0.536573,0.00502621
1.82905,-0.537297,0.00489179
1.91886,-0.538022,0.00475736
2.00866,-0.538746,0.00462294
2.10135,-0.542583,0.0047936
2.19405,-0.54642,0.00496426
2.28674,-0.550257,0.00513493
2.37943,-0.554094,0.00530559
2.47213,-0.557931,0.00547626
2.56482,-0.561769,0.00564692
2.65751,-0.565606,0.00581759
2.75021,-0.569443,0.00598825
2.8429,-0.57328,0.00615892
2.93559,-0.577117,0.00632958
3.02829,-0.580954,0.00650024
3.11778,-0.584598,0.00634384
3.20728,-0.588242,0.00618744
3.29678,-0.591886,0.00603104
3.38627,-0.59553,0.00587463
3.47577,-0.599175,0.00571823
3.56526,-0.602819,0.00556183
3.65476,-0.606463,0.00540543
3.74425,-0.610107,0.00524902
3.83375,-0.613751,0.00509262
3.92325,-0.617395,0.00493622
4.01274,-0.621039,0.00477982
4.10406,-0.625374,0.0045844
4.19537,-0.62971,0.00438898
4.28668,-0.634045,0.00419357
4.378,-0.63838,0.00399815
4.46931,-0.642715,0.00380273
4.56063,-0.64705,0.00360732
4.65194,-0.651386,0.0034119
4.74325,-0.655721,0.00321648
4.83457,-0.660056,0.00302107
4.92588,-0.664391,0.00282565
5.01719,-0.668727,0.00263023
5.10821,-0.690591,0.00262538
5.19922,-0.712455,0.00262052
5.29024,-0.734319,0.00261567
5.38125,-0.756183,0.00261081
5.47227,-0.778047,0.00260596
5.56328,-0.799911,0.0026011
5.65429,-0.821775,0.00259625
5.74531,-0.843639,0.00259139
